state;region;pop;area;density;metro;waste;energy;miles;toxic;green;house;senate;csat;vsat;msat;percent;expense;income;high;college
Alabama;3;4041000;52423;77,08000183;67,40000153;1,110000014;393;10,5;27,86000061;29,25;30;10;991;476;515;8;3627;27,498;66,90000153;15,69999981
Alaska;1;550000;570374;0,959999979;41,09999847;0,910000026;991;7,199999809;37,40999985;NA;0;20;920;439;481;41;8330;48,254;86,59999847;23
Arizona;1;3665000;113642;32,25;79;0,790000021;258;9,699999809;19,64999962;18,37000084;13;33;932;442;490;26;4309;32,093;78,69999695;20,29999924
Arkansas;3;2351000;52075;45,15000153;40,09999847;0,850000024;330;8,899999619;24,60000038;26,04000092;25;37;1005;482;523;6;3700;24,643;66,30000305;13,30000019
California;1;29760000;155973;190,8000031;95,69999695;1,50999999;246;8,699999809;3,25999999;15,64999962;50;47;897;415;482;47;4491;41,716;76,19999695;23,39999962
Colorado;1;3294000;103730;31,76000023;81,5;0,730000019;273;8,300000191;2,25;21,88999939;36;58;959;453;506;29;5064;35,123;84,40000153;27
Connecticut;2;3287000;4845;678,4299927;92,40000153;0,879999995;234;8;6,489999771;14,63000011;64;87;897;429;468;81;7602;48,618;79,19999695;27,20000076
Delaware;3;666000;1955;340,6600037;66,30000305;1,129999995;349;9,800000191;9,880000114;21,53000069;69;83;892;428;464;61;5865;40,641;77,5;21,39999962
District of Columbia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;840;405;435;71;9259;35,807;73,09999847;33,29999924
Florida;3;12938000;53997;239,6100006;90,80000305;1,450000048;237;8,5;8,239999771;13,56999969;45;47;882;416;466;48;5276;32,027;74,40000153;18,29999924
Georgia;3;6478000;57919;111,8499985;65;0,680000007;322;11,19999981;12,02000046;22,93000031;55;50;844;400;444;62;4466;33,819;70,90000153;19,29999924
Hawaii;1;1108000;6423;172,5099945;75,5;1,169999957;243;7,300000191;0,769999981;NA;85;50;883;405;478;55;5166;45,248;80,09999847;22,89999962
Idaho;1;1007000;82751;12,17000008;20,39999962;0,839999974;354;9,800000191;11,51000023;17,02000046;43;14;968;463;505;18;3386;29,433;79,69999695;17,70000076
Illinois;4;11431000;55593;205,6199951;82,69999695;1,279999971;308;7,300000191;10,40999985;25,73999977;52;70;1006;471;535;16;5520;37,854;76,19999695;21
Indiana;4;5544000;35870;154,5599976;68,5;1,029999971;446;9,699999809;30,45000076;39,06999969;55;24;865;408;457;57;4930;33,558;75,59999847;15,60000038
Iowa;4;2777000;55875;49,70000076;44;0,829999983;333;8,300000191;14,64999962;24,15999985;30;53;1093;515;578;5;4679;30,565;80,09999847;16,89999962
Kansas;4;2478000;81823;30,28000069;53,79999924;0,970000029;423;9,199999809;36,27999878;28,37999916;34;27;1039;493;546;10;4874;31,803;81,30000305;21,10000038
Kentucky;3;3685000;39732;92,75;46,5;0,949999988;376;9,100000381;11,51000023;29,40999985;24;10;993;473;520;11;4354;26,259;64,59999847;13,60000038
Louisiana;3;4220000;43566;96,86000061;69,5;0,829999983;783;8,899999619;101,2799988;39,22999954;18;17;994;476;518;9;4146;25,578;68,30000305;16,10000038
Maine;2;1228000;30865;39,79000092;35,90000153;0,769999981;309;9,699999809;12,06999969;17,11000061;81;87;879;421;458;64;5458;32,459;78,80000305;18,79999924
Maryland;3;4781000;9775;489,1000061;92,80000305;1,070000052;268;8,5;3,359999895;16,85000038;61;90;904;429;475;64;6566;45,897;78,40000153;26,5
Massachusetts;2;6016000;7838;767,539978;90,40000153;1,129999995;229;7,699999809;3,460000038;15,27000046;78;97;896;426;470;79;6366;43,061;80;27,20000076
Michigan;4;9295000;56809;163,6199951;80,09999847;1,25999999;298;8,699999809;12,89000034;19,64999962;54;70;980;461;519;11;5883;36,148;76,80000305;17,39999962
Minnesota;4;4375000;79617;54,95000076;67,69999695;1,00999999;305;8,899999619;11,89999962;19,29999924;61;77;1023;480;543;12;5239;36,019;82,40000153;21,79999924
Mississippi;3;2573000;46914;54,84999847;30,10000038;0,540000021;358;9,5;40,27999878;19,47999954;32;14;997;477;520;4;3187;23,465;64,30000305;14,69999981
Missouri;4;5117000;68898;74,26999664;66,19999695;1,470000029;294;9,899999619;13,43000031;21,93000031;39;20;1002;476;526;12;4754;30,72;73,90000153;17,79999924
Montana;1;799000;145556;5,489999771;23,89999962;0,75;415;10,39999962;53,40999985;32,83000183;27;47;982;464;518;22;5204;26,788;81;19,79999924
Nebraska;4;1578000;76878;20,53000069;48,5;0,819999993;334;8,800000191;11,02000046;24,75;44;67;1024;481;543;10;5038;30,317;81,80000305;18,89999962
Nevada;1;1202000;109806;10,94999981;82,90000153;0,829999983;337;8,5;2,720000029;19,88999939;27;60;919;435;484;25;4653;36,138;78,80000305;15,30000019
New Hampshire;2;1109000;8969;123,6500015;56,09999847;0,99000001;224;8,899999619;7,480000019;14,61999989;50;52;921;440;481;75;5672;42,335;82,19999695;24,39999962
New Jersey;2;7730000;7419;1041,920044;100;0,920000017;296;7,599999905;3,359999895;13,88000011;69;94;886;417;469;74;8645;47,693;76,69999695;24,89999962
New Mexico;1;1515000;121365;12,47999954;48,40000153;0,99000001;347;10,69999981;21,54999924;35,95999908;31;27;996;474;522;12;3895;28,069;75,09999847;20,39999962
New York;2;17990000;47224;380,9500122;91,09999847;1,220000029;200;5,900000095;3,359999895;12,22999954;60;67;881;413;468;75;8565;38,415;76,69999695;23,10000038
North Carolina;3;6629000;48718;136,0700073;56,70000076;0,910000026;300;9,5;18,70000076;19,48999977;45;37;844;400;444;57;4488;31,052;70;17,39999962
North Dakota;4;639000;68994;9,260000229;40,29999924;0,629999995;467;9,199999809;3,299999952;65,22000122;15;54;1073;502;571;6;4199;27,051;76,69999695;18,10000038
Ohio;4;10847000;40953;264,8599854;79;1,450000048;348;8;15,52000046;23,51000023;38;83;946;450;496;22;5245;33,452;75,69999695;17
Oklahoma;3;3146000;68679;45,81000137;59,40000153;0,949999988;396;10,5;10,52999973;27,98999977;31;20;997;476;521;9;3791;27,475;74,59999847;17,79999924
Oregon;1;2842000;96003;29,60000038;68,5;1,159999967;318;9,399999619;7,989999771;13,89000034;57;20;922;439;483;54;5683;31,755;81,5;20,60000038
Pennsylvania;2;11882000;44820;265,1000061;84,80000305;0,800000012;300;7,199999809;7,519999981;21,21999931;34;63;876;417;459;67;6541;33,875;74,69999695;17,89999962
Rhode Island;2;1003000;1045;959,8099976;92,5;1,200000048;218;7;5,25;11,76000023;85;90;880;421;459;67;6343;37,501;72;21,29999924
South Carolina;3;3487000;30111;115,8000031;60,59999847;1,149999976;330;9,899999619;19,28000069;17,44000053;60;37;832;395;437;58;4351;30,597;68,30000305;16,60000038
South Dakota;4;696000;75898;9,170000076;29,5;1,149999976;284;10;4,21999979;22,54999924;69;37;1047;496;551;5;3965;26,223;77,09999847;17,20000076
Tennessee;3;4877000;41220;118,3199997;67,69999695;1,029999971;350;9,600000381;42,54000092;22,52000046;39;63;1015;487;528;12;3782;28,908;67,09999847;16
Texas;3;16987000;261914;64,86000061;81,59999847;1,059999943;569;9,600000381;24,64999962;27,26000023;30;30;874;411;463;44;4438;31,482;72,09999847;20,29999924
Utah;1;1723000;82168;20,96999931;77,5;0,699999988;316;8,5;72,80000305;25,32999992;31;13;1031;494;537;5;2960;34,342;85,09999847;22,29999924
Vermont;2;563000;9249;60,86999893;23,39999962;0,689999998;232;10,39999962;1,809999943;15,17000008;85;94;890;424;466;68;6738;34,717;80,80000305;24,29999924
Virginia;3;6187000;39598;156,25;72,5;1,450000048;306;9,699999809;12,86999989;18,71999931;33;54;890;424;466;60;4836;38,838;75,19999695;24,5
Washington;1;4867000;66582;73,09999847;81,69999695;1,049999952;389;9,199999809;8,510000229;16,51000023;52;64;913;433;480;49;5000;36,338;83,80000305;22,89999962
West Virginia;3;1793000;24087;74,44000244;36,40000153;0,949999988;415;8,600000381;21,29999924;51,13999939;48;57;926;441;485;17;4911;24,233;66;12,30000019
Wisconsin;4;4892000;54314;90,06999969;67,40000153;0,699999988;288;9,100000381;9,199999809;20,57999992;47;57;1023;481;542;11;5871;34,309;78,59999847;17,70000076
Wyoming;1;454000;97105;4,679999828;29,60000038;0,699999988;786;12,80000019;25,51000023;114,4000015;0;10;980;466;514;13;5723;31,576;83;18,79999924
